buy_exchange,sell_exchange,volume,profit,fund_remain,time
kraken,okx,150.022,0.03892539,10000.03893,410.0759792327881
kraken,okx,150.022,0.03852539,10000.077450780002,411.0879796
kraken,okx,150.022,0.03852539,10000.115976170002,412.1009986400604
kraken,okx,511.025,0.1052581189014745,10000.221234288903,413.1059961
kraken,okx,7299.623348077392,-17.12883,9983.092403999999,3521.0250034332275
kraken,okx,7222.573888322828,-13.44899522,9969.643408780908,3847.224967
kraken,okx,7156.149617,-13.10055604,9956.542852743445,3848.235976
kraken,okx,2241.434,-4.004676733,9952.538176010645,4633.176966190338
kraken,okx,2241.434,-3.994496733,9948.543679277846,4634.192975521088
kraken,okx,5772.361,-11.83821428,9936.705464997345,4642.267964839935
kraken,okx,5772.361,-12.11847594,9924.586989056847,4643.283969640732
kraken,okx,5772.361,-12.08716594,9912.499823116346,4644.297989368439
kraken,okx,71.199,-0.15935063,9912.340472486245,4676.664976596832
kraken,okx,71.199,-0.15935063,9912.181121856145,4677.677987098694
kraken,okx,71.199,-0.15663068,9912.024491176046,4678.694974184036
kraken,okx,71.199,-0.15734267,9911.867148505946,4679.710984
lbank,okx,3503.366684317965,-6.112351032,9905.754797399999,6413.6210305690765
kraken,okx,3471.6439924495157,-6.357514053,9899.397283382208,6424.745021104813
kraken,okx,3439.900672373763,-9.816738782,9889.580544599998,6425.749036312103
kraken,okx,3390.885305883598,-6.262110725,9883.318433875069,6426.761003255844
kraken,okx,3361.907967902206,-2.843296671,9880.475137204514,6643.029975652695
kraken,okx,3347.7015994837407,-2.830618907,9877.644518297133,6644.046974420548
kraken,okx,3333.558574780433,-2.953285601,9874.691232696261,6645.048979043961
kraken,okx,87.063,-0.11389351,9874.577339,6666.251153230667
kraken,okx,87.063,-0.11389351,9874.463446,6667.261981725693
kraken,okx,3308.259878706918,-22.11837003,9852.345076,6668.273140668869
bingx,okx,3199.3568810429165,-6.104009487,9846.241066156796,6752.084993839264
kraken,okx,3165.668069746129,-6.614572779,9839.626493377857,6765.217001676559
kraken,okx,3132.733022556404,-6.436457196,9833.190036181955,6766.220981121063
kraken,okx,3100.6848421876525,-6.683070833,9826.506965,6767.229981422424
kraken,okx,3065.186574696797,-7.277862611,9819.229102737541,6769.241225004196
kraken,okx,3035.068467474376,-5.765129812,9813.463972925085,6883.452976465225
kraken,okx,3009.6736274054606,-4.842862032,9808.621110899998,6965.369964599609
kraken,okx,2989.2426898097447,-1.301145407,9807.319965499999,7191.222971200943
gateio,okx,2991.8037728811923,1.4604835015693425,9808.780448987593,7539.902963399887
kraken,okx,2939.305,1.4520502999999962,9810.232499287593,7685.439976453781
kraken,okx,2939.305,1.4459902999999483,9811.678489587594,7686.449980258942
lbank,okx,3025.9217121525708,4.147705094284333,9815.826194681877,8509.911994218826
bingx,okx,908,1.3569980000000896,9817.183192681878,8533.186996936798
bitfinex,okx,626.3042962,0.6999977687820547,9817.883190450659,8552.392978191376
bitfinex,okx,3049.358286,-121.6024566,9696.280733799998,8553.403970718384
kraken,okx,2446.967444039288,4.185622754334759,9700.466356571103,8878.012990951538
kraken,okx,2468.049382172551,4.202114833660687,9704.668471404764,8879.017985343933
bitfinex,okx,2487.594336,3.913095277995353,9708.581567,8880.028220415115
kraken,okx,2504.893953501793,2.821842859456524,9711.403409542218,8989.196976184845
kraken,okx,2519.0840442211297,2.824689699796579,9714.228099242013,8990.210030555725
kraken,okx,2533.2884507350386,3.0916599275295766,9717.319759169543,8991.226984977722
kraken,okx,2548.8353599819397,2.960430719643796,9720.280189889187,8992.231490373611
kraken,okx,2563.7223620484365,2.992392673257996,9723.272582562444,8993.244965791702
kraken,okx,2578.7700899398437,3.0498854273212146,9726.322467989767,8994.256062746048
kraken,okx,2595.2762778670253,3.1397183697441733,9729.462186,9388.637122631071
kraken,okx,2611.071973756225,3.142799393045493,9732.604985752556,9389.644949
kraken,okx,2626.883170050673,3.1614486990747537,9735.766434,9390.654977083206
kraken,okx,2642.788189654058,3.069767142110777,9738.836201593742,9391.666970729828
kraken,okx,2658.231965979573,3.087365325233691,9741.923566918975,9392.680965185164
gemini,okx,2672.695309625227,2.7228114034326154,9744.646378299998,9399.755989789965
gemini,okx,549.164613,0.5964361359100394,9745.242814499998,9403.801993370056
kraken,okx,2673.936919,-0.404785339,9744.838029119011,9802.270995616913
kraken,okx,2671.9129821599718,-0.572608073,9744.265421046097,9803.282007
kraken,okx,2669.049927480125,-0.541412433,9743.724008612702,9806.314964056017
kraken,okx,2666.342851777781,-0.540792513,9743.183216099646,9807.320645570757
kraken,okx,2663.6388756926144,-0.430304136,9742.752911963384,9808.333997488022
kraken,okx,2661.487344253643,-0.354591361,9742.398320602204,9809.349538087845
kraken,okx,2659.7143785829203,-0.353304586,9742.045016016009,9810.357967615128
kraken,okx,127.222,-0.011068314,9742.033948,9811.374577
kraken,okx,127.222,-0.009796094,9742.024152,9812.379972457886
kraken,okx,127.222,-0.009796094,9742.014356,9813.390964746475
kraken,okx,127.222,-0.003434994,9742.010921,9814.403963565826
kraken,okx,127.222,-0.001262774,9742.009658,9815.415234
kraken,okx,210.42,-0.00946058,9742.000197,9820.454984903336
kraken,okx,210.42,-0.00877058,9741.991427,9821.466986179352
kraken,okx,660,1.0761179999999513,9743.067544586009,10579.919918060305
kraken,okx,660,1.0649579999999332,9744.132503,10581.93304491043
gemini,okx,38.98947,0.036260207,9744.168763,12556.751980781555
gemini,okx,38.98947,0.036260207,9744.205023,12558.76897406578
gemini,okx,38.98947,0.036260207,9744.241283,12559.774002790453
gemini,okx,38.98947,0.036260207,9744.277543,12560.780980110168
gemini,okx,38.98947,0.034700628,9744.312244042709,12561.78897213936
gemini,okx,6.4e-05,6.528000540129143e-08,9744.312244107989,12664.980971813202
gemini,okx,6.4e-05,6.528000540129143e-08,9744.312244173268,12665.99599313736
gemini,okx,2576.316714,0.5237837381799864,9744.836028,12809.685980558395
gemini,okx,33.450648,0.007334636,9744.843363,12813.742011070251
gemini,okx,33.450648,0.007334636,9744.850697183609,12814.758985757828
gemini,okx,33.450648,0.006021117,9744.856718300249,12815.771981477736
gemini,okx,33.450648,0.005017597,9744.861736,12816.784973859789
kraken,okx,2645.562531175498,-2.782261908,9742.079473989092,13385.28698682785
kraken,okx,166.208,-0.191244243,9741.888229745891,13387.309964895248
kraken,okx,166.208,-0.188894243,9741.699335502692,13388.328973054886
kraken,okx,166.208,-0.184333843,9741.515002,13389.343971014025
lbank,okx,2626.004534735167,-3.537496213,9737.977505446905,13445.99604511261
kraken,okx,2621.678174359816,0.5116531239303868,9738.489158599998,14083.477013587952
kraken,okx,2624.220999942529,0.512048788,9739.001207399999,14084.49098
kraken,okx,2626.765791903696,0.4540994413821408,9739.455306799808,14085.506964206696
kraken,okx,2629.022585857718,0.5197759143594567,9739.975082714167,14086.521983623505
kraken,okx,2631.6057802730256,0.573766033,9740.548848746987,14087.529970169067
kraken,okx,883.293,-1.006603911,9739.542244836086,14457.935975551603
kraken,okx,1171.2240000000002,-1.360386276,9738.181858560385,14489.259999275208
kraken,okx,1171.2240000000002,-1.360386276,9736.821472284686,14490.27420258522
kraken,okx,1171.2240000000002,-1.338121796,9735.483350488987,14491.28898859024
kraken,okx,1171.2240000000002,-1.354924036,9734.128426453286,14492.307983875276
kraken,okx,76.712,-0.096079038,9734.032347414886,14496.349966526031
kraken,okx,76.712,-0.096826158,9733.935521256486,14497.365766048431
kraken,okx,76.712,-0.102415998,9733.833105258085,14498.376965522766
kucoin,okx,2602.043356160324,-4.177750237,9729.655355021107,15178.92997121811
kraken,okx,180,-0.315612,9729.339743021106,15417.596974372864
